source_scope,indicator,window_days,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
youtube,author_net,3,1D,bull,15,0.4666666666666667,0.42857142857142855,0.21380798904474121,0.6740935542034926,0.003753765174704012,-0.0021368948247078023,0.024889373816846274,-0.014739892387170467,1.6885722882556367,1.477500752223682,0.002750652526016465,-0.0035021618257498055,1.8575346343127175,1.3931509757345382,0.0036774117313671897,0.0036774117313671897,2026-07-19T13:02:28+00:00
youtube,author_net,3,20D,all,7,0.42857142857142855,0.42857142857142855,0.15821985525146975,0.7495416354723428,0.0030955351232698136,-0.06990533872641413,0.1395289929414274,-0.09922955824034838,1.4061232904359802,1.0545924678269851,-0.00118059385318051,-0.08629154074929302,1.3065414801249557,0.9799061100937169,0.0772368926709031,-0.10414103710953283,2026-07-19T13:02:28+00:00
youtube,author_net,3,20D,bull,7,0.42857142857142855,0.42857142857142855,0.15821985525146975,0.7495416354723428,0.0030955351232698136,-0.06990533872641413,0.1395289929414274,-0.09922955824034838,1.4061232904359802,1.0545924678269851,-0.00118059385318051,-0.08629154074929302,1.3065414801249557,0.9799061100937169,0.0772368926709031,-0.10414103710953283,2026-07-19T13:02:28+00:00
youtube,author_net,3,5D,all,15,0.5333333333333333,0.42857142857142855,0.21380798904474121,0.6740935542034926,-0.019506904407640833,0.008017910136929318,0.041662031229491,-0.08941425942150578,0.4659439277251399,0.5325073459715884,-0.02480402888821068,-0.010442496278389057,0.5503396800621472,0.41275476004661044,0.03259182812703836,-0.04940922603708646,2026-07-19T13:02:28+00:00
youtube,author_net,3,5D,bull,15,0.5333333333333333,0.42857142857142855,0.21380798904474121,0.6740935542034926,-0.019506904407640833,0.008017910136929318,0.041662031229491,-0.08941425942150578,0.4659439277251399,0.5325073459715884,-0.02480402888821068,-0.010442496278389057,0.5503396800621472,0.41275476004661044,0.03259182812703836,-0.04940922603708646,2026-07-19T13:02:28+00:00
youtube,author_net,3,60D,all,3,0.0,0.0,5.551115123125783e-17,0.5614970317550454,-0.19748355082938895,-0.18410695320797155,,-0.19748355082938895,,,-0.2038492539852971,-0.20468634689356735,,,0.07611774308808805,-0.21433696347727993,2026-07-19T13:02:28+00:00
youtube,author_net,3,60D,bull,3,0.0,0.0,5.551115123125783e-17,0.5614970317550454,-0.19748355082938895,-0.18410695320797155,,-0.19748355082938895,,,-0.2038492539852971,-0.20468634689356735,,,0.07611774308808805,-0.21433696347727993,2026-07-19T13:02:28+00:00
youtube,author_net,3,90D,all,3,0.0,0.0,5.551115123125783e-17,0.5614970317550454,-0.1551452414749951,-0.19808983291332238,,-0.1551452414749951,,,-0.16460111981145684,-0.19440155449271557,,,0.07611774308808805,-0.279336037309199,2026-07-19T13:02:28+00:00
youtube,author_net,3,90D,bull,3,0.0,0.0,5.551115123125783e-17,0.5614970317550454,-0.1551452414749951,-0.19808983291332238,,-0.1551452414749951,,,-0.16460111981145684,-0.19440155449271557,,,0.07611774308808805,-0.279336037309199,2026-07-19T13:02:28+00:00
youtube,author_net,7,1D,all,18,0.4444444444444444,0.4117647058823529,0.2161105679021481,0.6399455735700021,-0.004171680620298589,-0.0025959950511277308,0.024826627758763264,-0.02737032732354807,0.9070636045117249,0.7256508836093799,-0.004256577635411821,-0.0038874953213896557,0.9753527398276305,0.6827469178793413,-0.0030949877330957564,-0.0030949877330957564,2026-07-19T13:02:28+00:00
youtube,author_net,7,1D,bull,18,0.4444444444444444,0.4117647058823529,0.2161105679021481,0.6399455735700021,-0.004171680620298589,-0.0025959950511277308,0.024826627758763264,-0.02737032732354807,0.9070636045117249,0.7256508836093799,-0.004256577635411821,-0.0038874953213896557,0.9753527398276305,0.6827469178793413,-0.0030949877330957564,-0.0030949877330957564,2026-07-19T13:02:28+00:00
youtube,author_net,7,20D,all,10,0.4,0.4,0.16818032970623614,0.6873262302663417,-3.177236928405547e-05,-0.016508082444659844,0.10740416853946816,-0.07165573297511886,1.4988914924192078,0.9992609949461385,-0.0018278043652024678,-0.014481987335593915,1.4377226105796692,0.9584817403864463,0.07696089381903151,-0.09883857108192495,2026-07-19T13:02:28+00:00
youtube,author_net,7,20D,bull,10,0.4,0.4,0.16818032970623614,0.6873262302663417,-3.177236928405547e-05,-0.016508082444659844,0.10740416853946816,-0.07165573297511886,1.4988914924192078,0.9992609949461385,-0.0018278043652024678,-0.014481987335593915,1.4377226105796692,0.9584817403864463,0.07696089381903151,-0.09883857108192495,2026-07-19T13:02:28+00:00
youtube,author_net,7,5D,all,18,0.5555555555555556,0.47058823529411764,0.26165106442409436,0.6903676493999558,-0.011819046310590756,0.007192945012962526,0.03975122821738246,-0.07628188947055728,0.5211096433672548,0.6513870542090686,-0.015291013097077444,-0.008016415460222581,0.6148405995718516,0.5465249773972013,0.030485294073370067,-0.042003424368245584,2026-07-19T13:02:28+00:00
youtube,author_net,7,5D,bull,18,0.5555555555555556,0.47058823529411764,0.26165106442409436,0.6903676493999558,-0.011819046310590756,0.007192945012962526,0.03975122821738246,-0.07628188947055728,0.5211096433672548,0.6513870542090686,-0.015291013097077444,-0.008016415460222581,0.6148405995718516,0.5465249773972013,0.030485294073370067,-0.042003424368245584,2026-07-19T13:02:28+00:00
youtube,author_net,7,60D,all,4,0.0,0.0,0.0,0.4898908364545973,-0.1743336270239785,-0.17783099084553083,,-0.1743336270239785,,,-0.18935995045450055,-0.17565068489104352,,,0.07848713261125348,-0.20240809696969644,2026-07-19T13:02:28+00:00
youtube,author_net,7,60D,bull,4,0.0,0.0,0.0,0.4898908364545973,-0.1743336270239785,-0.17783099084553083,,-0.1743336270239785,,,-0.18935995045450055,-0.17565068489104352,,,0.07848713261125348,-0.20240809696969644,2026-07-19T13:02:28+00:00
youtube,author_net,7,90D,all,4,0.0,0.0,0.0,0.4898908364545973,-0.16046806179281733,-0.18726317782980323,,-0.16046806179281733,,,-0.18617371719541348,-0.2226465319199995,,,0.07848713261125348,-0.2722249053187201,2026-07-19T13:02:28+00:00
youtube,author_net,7,90D,bull,4,0.0,0.0,0.0,0.4898908364545973,-0.16046806179281733,-0.18726317782980323,,-0.16046806179281733,,,-0.18617371719541348,-0.2226465319199995,,,0.07848713261125348,-0.2722249053187201,2026-07-19T13:02:28+00:00
youtube,author_net,30,1D,all,18,0.3888888888888889,0.3888888888888889,0.2030524657216362,0.613809583977621,-0.00803903960765933,-0.007394567850737055,0.032627027702530356,-0.03391744607778004,0.961954140878105,0.6121526351042488,-0.006357734958876118,-0.007084745368897916,0.9918954572111248,0.6312062000434431,-0.006357734958876118,-0.006357734958876118,2026-07-19T13:02:28+00:00
youtube,author_net,30,1D,bull,18,0.3888888888888889,0.3888888888888889,0.2030524657216362,0.613809583977621,-0.00803903960765933,-0.007394567850737055,0.032627027702530356,-0.03391744607778004,0.961954140878105,0.6121526351042488,-0.006357734958876118,-0.007084745368897916,0.9918954572111248,0.6312062000434431,-0.006357734958876118,-0.006357734958876118,2026-07-19T13:02:28+00:00
youtube,author_net,30,20D,all,13,0.3076923076923077,0.23076923076923078,0.08179528718498569,0.5025637594672749,0.025725037448077533,-0.018731369831086586,0.23310509290512121,-0.06644387608838632,3.5083006384972997,1.5592447282210222,0.010299863923092985,-0.022240561520682767,3.998983881782495,1.1996951645347484,0.09648004760939694,-0.10021200665940468,2026-07-19T13:02:28+00:00
youtube,author_net,30,20D,bull,13,0.3076923076923077,0.23076923076923078,0.08179528718498569,0.5025637594672749,0.025725037448077533,-0.018731369831086586,0.23310509290512121,-0.06644387608838632,3.5083006384972997,1.5592447282210222,0.010299863923092985,-0.022240561520682767,3.998983881782495,1.1996951645347484,0.09648004760939694,-0.10021200665940468,2026-07-19T13:02:28+00:00
youtube,author_net,30,5D,all,17,0.6470588235294118,0.6470588235294118,0.41300363485218694,0.8269027960275627,0.014078370173366439,0.01996460176991155,0.06627544310607957,-0.08161626353660763,0.8120372121219788,1.4887348888902943,0.00781841520786565,0.009476218915893453,0.7055041226414215,1.293424224842606,0.04128094703580772,-0.049363862586868146,2026-07-19T13:02:28+00:00
youtube,author_net,30,5D,bull,17,0.6470588235294118,0.6470588235294118,0.41300363485218694,0.8269027960275627,0.014078370173366439,0.01996460176991155,0.06627544310607957,-0.08161626353660763,0.8120372121219788,1.4887348888902943,0.00781841520786565,0.009476218915893453,0.7055041226414215,1.293424224842606,0.04128094703580772,-0.049363862586868146,2026-07-19T13:02:28+00:00
youtube,author_net,30,60D,all,5,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.14855557320635135,-0.17155502848309012,0.0951346406723459,-0.20947812667602567,0.45415071340350044,0.11353767835087511,-0.16469251068788815,-0.14661502288851969,0.33208805861695334,0.08302201465423834,0.055555272197079855,-0.1946941138523109,2026-07-19T13:02:28+00:00
youtube,author_net,30,60D,bull,5,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.14855557320635135,-0.17155502848309012,0.0951346406723459,-0.20947812667602567,0.45415071340350044,0.11353767835087511,-0.16469251068788815,-0.14661502288851969,0.33208805861695334,0.08302201465423834,0.055555272197079855,-0.1946941138523109,2026-07-19T13:02:28+00:00
youtube,author_net,30,90D,all,5,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.19281053168205858,-0.19808983291332238,0.018237950946200954,-0.24557265233912345,0.07426702758829702,0.018566756897074255,-0.21056034532707946,-0.25089150934728344,0.11910832311090856,0.02977708077772714,0.05692196599632175,-0.2594448985215448,2026-07-19T13:02:28+00:00
youtube,author_net,30,90D,bull,5,0.2,0.2,0.03622410863243014,0.6244653702374747,-0.19281053168205858,-0.19808983291332238,0.018237950946200954,-0.24557265233912345,0.07426702758829702,0.018566756897074255,-0.21056034532707946,-0.25089150934728344,0.11910832311090856,0.02977708077772714,0.05692196599632175,-0.2594448985215448,2026-07-19T13:02:28+00:00
youtube,author_net,90,1D,all,19,0.5263157894736842,0.5263157894736842,0.3170780924511316,0.7267019483882042,0.005474699270386077,0.013428571428571345,0.03223717109074322,-0.02426138053001075,1.328744300056075,1.4763825556178611,0.004800201671957172,0.00708027260381372,1.3757728332556731,1.5286364813951925,0.004800201671957172,0.004800201671957172,2026-07-19T13:02:28+00:00
youtube,author_net,90,1D,bull,19,0.5263157894736842,0.5263157894736842,0.3170780924511316,0.7267019483882042,0.005474699270386077,0.013428571428571345,0.03223717109074322,-0.02426138053001075,1.328744300056075,1.4763825556178611,0.004800201671957172,0.00708027260381372,1.3757728332556731,1.5286364813951925,0.004800201671957172,0.004800201671957172,2026-07-19T13:02:28+00:00
youtube,author_net,90,20D,all,15,0.3333333333333333,0.3333333333333333,0.1517632443971473,0.5828645226148023,0.021818538717440668,-0.018731369831086586,0.20634883622885888,-0.07044661003826844,2.9291521070604363,1.4645760535302181,0.012648590491616167,-0.022240561520682767,2.5194094281602166,1.2597047140801083,0.08954339156957918,-0.08972786502891664,2026-07-19T13:02:28+00:00
