ticker,indicator,window_days,outcome_horizon,position_policy,n_events,raw_hit_rate,excess_hit_rate,excess_ci_low,excess_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_directional_excess_pct,median_directional_excess_pct,payoff_ratio,profit_factor,bull_events,bear_events
AAPL,author_net,1,1D,all_events,4,0.5,0.5,0.15003898915214947,0.8499610108478506,0.0022958448644478657,-0.0005952145331934444,0.004567807875441476,0.0009489871793135762,1.8878335702855544,1.8878335702855544,4,0
AAPL,author_net,1,1D,non_overlapping_same_ticker,4,0.5,0.5,0.15003898915214947,0.8499610108478506,0.0022958448644478657,-0.0005952145331934444,0.004567807875441476,0.0009489871793135762,1.8878335702855544,1.8878335702855544,4,0
AAPL,author_net,1,20D,all_events,2,1.0,1.0,0.34238022750665303,1,0.0446131455147144,0.0446131455147144,0.04397592405860268,0.04397592405860268,,,2,0
AAPL,author_net,1,20D,non_overlapping_same_ticker,2,1.0,1.0,0.34238022750665303,1,0.0446131455147144,0.0446131455147144,0.04397592405860268,0.04397592405860268,,,2,0
AAPL,author_net,1,5D,all_events,2,0.5,0.5,0.09453120573423074,0.9054687942657693,0.02013385612755786,0.02013385612755786,0.027807834849673307,0.027807834849673307,8.130450431334113,8.130450431334113,2,0
AAPL,author_net,1,5D,non_overlapping_same_ticker,2,0.5,0.5,0.09453120573423074,0.9054687942657693,0.02013385612755786,0.02013385612755786,0.027807834849673307,0.027807834849673307,8.130450431334113,8.130450431334113,2,0
AAPL,author_net,1,60D,all_events,2,1.0,1.0,0.34238022750665303,1,0.06723261078605813,0.06723261078605813,0.0499435210275061,0.0499435210275061,,,2,0
AAPL,author_net,1,60D,non_overlapping_same_ticker,2,1.0,1.0,0.34238022750665303,1,0.06723261078605813,0.06723261078605813,0.0499435210275061,0.0499435210275061,,,2,0
AAPL,author_net,1,90D,all_events,2,1.0,0.5,0.09453120573423074,0.9054687942657693,0.10347371980655273,0.10347371980655273,0.05548673403978466,0.05548673403978466,,,2,0
AAPL,author_net,1,90D,non_overlapping_same_ticker,1,1.0,0.0,0,0.7934506856227626,0.014088910600879467,0.014088910600879467,-0.02378305964150118,-0.02378305964150118,,,1,0
AAPL,author_net,3,1D,all_events,9,0.5555555555555556,0.5555555555555556,0.26665129349549305,0.8112214789023355,0.0005700337581676527,0.0017411491584444772,0.002174844261851944,0.00228068424012684,0.9983286683321814,1.2479108354152266,9,0
AAPL,author_net,3,1D,non_overlapping_same_ticker,9,0.5555555555555556,0.5555555555555556,0.26665129349549305,0.8112214789023355,0.0005700337581676527,0.0017411491584444772,0.002174844261851944,0.00228068424012684,0.9983286683321814,1.2479108354152266,9,0
AAPL,author_net,3,20D,all_events,8,0.75,0.75,0.40927543031016883,0.9285207872478909,0.03743665447996872,0.0413492783532563,0.029524827533873713,0.02970381729448157,1.3257840265713754,3.977352079714126,8,0
AAPL,author_net,3,20D,non_overlapping_same_ticker,5,0.8,0.8,0.37553462976252533,0.9637758913675698,0.030820214254745036,0.02487542745481197,0.022822937367994255,0.029506694769726005,1.02891775911193,4.11567103644772,5,0
AAPL,author_net,3,5D,all_events,8,0.625,0.5,0.21521606221387757,0.7847839377861224,0.002561603777330987,0.008987855338725703,0.001432418846751729,0.002411003384750643,0.7334433532713526,1.2224055887855876,8,0
AAPL,author_net,3,5D,non_overlapping_same_ticker,8,0.625,0.5,0.21521606221387757,0.7847839377861224,0.002561603777330987,0.008987855338725703,0.001432418846751729,0.002411003384750643,0.7334433532713526,1.2224055887855876,8,0
AAPL,author_net,3,60D,all_events,6,0.8333333333333334,0.6666666666666666,0.299993315138392,0.9032285888942195,0.06122971946725649,0.05358708673829249,0.027861106060071323,0.03706704202209804,5.442999106512827,27.21499553256414,6,0
AAPL,author_net,3,60D,non_overlapping_same_ticker,2,1.0,1.0,0.34238022750665303,1,0.04003035914814479,0.04003035914814479,0.04211932426144954,0.04211932426144954,,,2,0
AAPL,author_net,3,90D,all_events,5,1.0,0.6,0.2307242812760128,0.882379225767352,0.09615203634480056,0.08412608909180208,0.04402064436338633,0.009602742088420602,,,5,0
AAPL,author_net,3,90D,non_overlapping_same_ticker,2,1.0,0.5,0.09453120573423074,0.9054687942657693,0.049107499846340774,0.049107499846340774,-0.00709015877654029,-0.00709015877654029,,,2,0
AAPL,author_net,7,1D,all_events,19,0.3684210526315789,0.2631578947368421,0.11806412346782508,0.487915508978151,-0.0035258504416252803,-0.004383651345107875,-0.0024853461550930693,-0.002357867196503438,0.44651411812926406,0.2604665689087374,19,0
AAPL,author_net,7,1D,non_overlapping_same_ticker,19,0.3684210526315789,0.2631578947368421,0.11806412346782508,0.487915508978151,-0.0035258504416252803,-0.004383651345107875,-0.0024853461550930693,-0.002357867196503438,0.44651411812926406,0.2604665689087374,19,0
