sample,signal_type,horizon_sessions,n,benchmark_n,tickers,bullish,bearish,raw_match_rate,raw_match_ci_low,raw_match_ci_high,excess_match_rate,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high,mean_mfe,mean_mae,overlap_consensus_rate
non_overlapping,smart_alpha_pure,20,67,67,62,56,11,0.4626865671641791,0.34858248875358616,0.5808375130532616,0.44776119402985076,0.4626865671641791,0.0014557153133464352,-0.03394255874673624,-0.0013394178631462414,-0.012746819274648935,-0.06378585903735001,0.07605146793603383,0.18961888524902684,-0.14787512046737436,0.0
non_overlapping,smart_alpha_pure,60,55,55,54,45,10,0.4,0.28118303786433585,0.5318743908935498,0.34545454545454546,0.4,-0.063607541663879,-0.10820332159033719,-0.07831005751543878,-0.10581373176939923,-0.1716952828350166,0.02580447122579357,0.28179491305899895,-0.27253207212316743,0.0
non_overlapping,smart_alpha_ui,1,71,71,42,62,9,0.4788732394366197,0.36677330370106553,0.5931420374995502,0.49295774647887325,0.4507042253521127,0.0016407511178440583,-0.0006061655697955359,0.00027304975599763866,-0.0009351333069154144,-0.01039441139271221,0.01262119780528518,0.03507846525631754,-0.03236863163726567,0.5633802816901409
non_overlapping,smart_alpha_ui,5,61,61,42,52,9,0.5245901639344263,0.4015694171531101,0.6446971771320402,0.45901639344262296,0.5245901639344263,-0.00788498708333833,0.0034266133637921303,-0.008537661982305746,-0.005637646275519659,-0.03614686611981244,0.017989082493909337,0.08095538660402266,-0.08278507866512903,0.5245901639344263
non_overlapping,smart_alpha_ui,20,50,50,40,42,8,0.52,0.3851151225880844,0.6520308760449429,0.5,0.52,-0.0063689082719889534,0.009619483774151116,-0.009587607996545486,-0.002329348784888663,-0.055834430780335176,0.03534119994436834,0.15627340402475287,-0.14584250600140775,0.52
non_overlapping,smart_alpha_ui,60,36,36,32,29,7,0.4166666666666667,0.27140333505087283,0.5780003033572232,0.4722222222222222,0.4166666666666667,0.043310959793402444,-0.08649441559358617,0.025146662127845838,-0.04647089633421564,-0.10423832546779525,0.17158315805859847,0.31949066594863246,-0.24533972326563058,0.4444444444444444
non_overlapping,smart_consensus,1,869,857,104,794,75,0.476409666283084,0.4433792866644481,0.5096477001336146,0.485414235705951,0.4579976985040276,-0.002642843502540435,-0.0015513764156309673,-0.002380369880371617,-0.0006272334890238263,-0.0056048020122627705,0.0003375448864925557,0.025289015474581088,-0.02807585284466165,0.0
non_overlapping,smart_consensus,5,484,479,104,441,43,0.42355371900826444,0.38030352315572946,0.4680078959606394,0.4112734864300626,0.4194214876033058,-0.01165927552212218,-0.013714482077807233,-0.011154133146237573,-0.011039465630462875,-0.021067448487908882,-0.002072738682023181,0.06639696849529714,-0.07754762471945291,0.0
non_overlapping,smart_consensus,20,223,223,91,205,18,0.4663677130044843,0.402014559167217,0.5318600035232243,0.4260089686098655,0.4663677130044843,-0.00954812897731107,-0.02113171757636445,-0.0183221006338103,-0.022973595642630462,-0.0446550995790271,0.006476677597775914,0.1575593936369422,-0.14851007282614745,0.0
non_overlapping,smart_consensus,60,86,86,56,76,10,0.45348837209302323,0.3525142050420289,0.5584401857969586,0.4069767441860465,0.45348837209302323,0.05574102765614995,-0.017098049092566125,0.022450138576374394,-0.04254180882641473,-0.056699931961857325,0.10702481339613425,0.3708911906427336,-0.20846653586681516,0.0
