sample,signal_type,horizon_sessions,dimension,bucket,n,benchmark_n,tickers,raw_match_rate,raw_match_ci_low,raw_match_ci_high,net_match_rate_10bps,mean_directional_return,median_directional_return,mean_directional_excess,median_directional_excess,mean_excess_ci_low,mean_excess_ci_high
all_events,smart_alpha_pure,5,agreement,unanimous,76,76,66,0.4868421052631579,0.377835392150506,0.5971150096450492,0.4868421052631579,0.001250072352984143,-0.010572967262854394,-0.00036894751029652243,-0.011930137902866456,-0.027917191731925316,0.027211838813855423
all_events,smart_alpha_pure,5,period,first_half_through_2026-01-26,35,35,32,0.6571428571428571,0.4915164687273671,0.7916850471731106,0.6571428571428571,0.005065503324461052,0.01532175689479054,0.002620933815655941,0.010377938219243932,-0.03719637486908745,0.04104040301561817
all_events,smart_alpha_pure,5,period,second_half_after_2026-01-26,41,41,39,0.34146341463414637,0.21558617366643462,0.4945044564627312,0.34146341463414637,-0.0020070028665693154,-0.029427312775330505,-0.0029212852275730156,-0.028682362603599798,-0.03992487169864485,0.040327311959899026
all_events,smart_alpha_pure,5,consensus_overlap,standalone,76,76,66,0.4868421052631579,0.377835392150506,0.5971150096450492,0.4868421052631579,0.001250072352984143,-0.010572967262854394,-0.00036894751029652243,-0.011930137902866456,-0.027917191731925316,0.027211838813855423
all_events,smart_alpha_pure,20,direction,bear,11,11,11,0.45454545454545453,0.21270957543988045,0.7199122443100118,0.45454545454545453,-0.06732931469845758,-0.00866024688166478,-0.03128770787290505,0.0007825610062912602,-0.1171395747547836,0.04815734442215078
all_events,smart_alpha_pure,20,direction,bull,60,60,54,0.4666666666666667,0.34627701540988,0.5910679132886489,0.4666666666666667,0.010437921355684944,-0.03584395174377575,0.00010506795146559093,-0.036564613866460816,-0.06899143326090346,0.08393677597522985
all_events,smart_alpha_pure,20,source_count,1,71,71,62,0.4647887323943662,0.35358257090400147,0.5796096644303581,0.4647887323943662,-0.0016105236667878424,-0.03394255874673624,-0.004758601542450988,-0.012746819274648935,-0.06344340100384208,0.068591630056325
all_events,smart_alpha_pure,20,agreement,unanimous,71,71,62,0.4647887323943662,0.35358257090400147,0.5796096644303581,0.4647887323943662,-0.0016105236667878424,-0.03394255874673624,-0.004758601542450988,-0.012746819274648935,-0.06344340100384208,0.068591630056325
all_events,smart_alpha_pure,20,period,first_half_through_2026-01-26,35,35,32,0.37142857142857144,0.23165607368891059,0.5366335951197893,0.37142857142857144,-0.010644006488008152,-0.039412449098313096,-0.01594064508939111,-0.04461479518477962,-0.10458249239180807,0.08719226771222477
all_events,smart_alpha_pure,20,period,second_half_after_2026-01-26,36,36,34,0.5555555555555556,0.3958078731600341,0.7045897012345685,0.5555555555555556,0.007172029076065237,0.010990610669414813,0.006112829683740797,0.006287317704475992,-0.0726624539297559,0.10994662865081785
all_events,smart_alpha_pure,20,consensus_overlap,standalone,71,71,62,0.4647887323943662,0.35358257090400147,0.5796096644303581,0.4647887323943662,-0.0016105236667878424,-0.03394255874673624,-0.004758601542450988,-0.012746819274648935,-0.06344340100384208,0.068591630056325
all_events,smart_alpha_pure,60,direction,bear,11,11,11,0.45454545454545453,0.21270957543988045,0.7199122443100118,0.45454545454545453,-0.16029710313151305,-0.08837117861004606,-0.09360410841992106,-0.04560081747530709,-0.32612768919917595,0.101941515838147
all_events,smart_alpha_pure,60,direction,bull,48,48,46,0.4166666666666667,0.28849459734577015,0.5571891778463536,0.4166666666666667,-0.036184933264929074,-0.10573051478004358,-0.06749725535846517,-0.1078166642943012,-0.16580392425225463,0.04485925694017722
all_events,smart_alpha_pure,60,source_count,1,59,59,54,0.423728813559322,0.3061253228310244,0.5506574452716337,0.423728813559322,-0.05932449035869897,-0.10325770796974998,-0.07236463474280441,-0.09012348945749293,-0.16124941606392232,0.025598580223034403
all_events,smart_alpha_pure,60,agreement,unanimous,59,59,54,0.423728813559322,0.3061253228310244,0.5506574452716337,0.423728813559322,-0.05932449035869897,-0.10325770796974998,-0.07236463474280441,-0.09012348945749293,-0.16124941606392232,0.025598580223034403
all_events,smart_alpha_pure,60,period,first_half_through_2026-01-26,35,35,32,0.4,0.2555050493330724,0.5642758041848053,0.4,-0.0989389514718152,-0.11882241324785092,-0.101874066668417,-0.12642686370696776,-0.21313434045447843,0.023642795855119886
all_events,smart_alpha_pure,60,period,second_half_after_2026-01-26,24,24,23,0.4583333333333333,0.27891058351681425,0.6492544644689338,0.4583333333333333,-0.0015534012354044742,-0.008142783850299373,-0.029330046517952717,-0.0541935258301684,-0.1827028035045398,0.13125130907566004
all_events,smart_alpha_pure,60,consensus_overlap,standalone,59,59,54,0.423728813559322,0.3061253228310244,0.5506574452716337,0.423728813559322,-0.05932449035869897,-0.10325770796974998,-0.07236463474280441,-0.09012348945749293,-0.16124941606392232,0.025598580223034403
all_events,smart_alpha_ui,1,direction,bear,9,9,8,0.3333333333333333,0.12058159868274293,0.6458026525009102,0.2222222222222222,-0.003958269663849194,-0.0006061655697955359,-0.006162097793749457,-0.010591791018887742,-0.013955600219489519,0.003501678104468775
all_events,smart_alpha_ui,1,direction,bull,63,63,38,0.5079365079365079,0.38762677115387556,0.6273339718564653,0.49206349206349204,0.0028963927713222433,0.00039528816507239384,0.001525175140808856,0.0013186562406959368,-0.010717897286413225,0.016220957168406026
