source,strategy,rank_band_pct,signal_window_days,holding_days,position_mode,n_input_events,average_top_authors,average_bottom_authors,average_top_consensus,average_bottom_consensus,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,bottom_contrarian,10,1,60,long_only,1,0.0,2.0,0.0,1.0,2026-02-10,2026-05-06,60,60,1,0,1.0,1.0,-0.07343374553126625,-0.2740926187705607,-0.07434670586098824,-0.2770919278216556,0.7107939078525124,-0.10384265182105307,-0.23878504672897205,0.0,-0.07443374553126647,0.0,-0.07571530271509241,-0.28157042256779663,0.25688630149069724
x,bottom_contrarian,10,1,60,short_only,27,0.0,2.0,0.0,1.0,2025-09-24,2026-05-22,167,167,20,7,1.0,7.18562874251497,0.02111442026038457,0.03203189819523988,0.01732196754232529,0.02625343938659319,0.516653862484499,0.3120091715695604,-0.36903603688001163,0.75,0.07898361520094573,2.053943909748747,0.011657992943121087,0.01764379478897271,0.18984630353709786
x,bottom_contrarian,10,1,90,long_short,27,0.0,2.0,0.0,1.0,2025-09-24,2026-07-02,194,194,19,8,1.0,8.79896907216495,0.11586244781701938,0.15304107382100196,0.11259581153004139,0.1486583562451662,0.5149261594166384,0.5283761192022832,-0.35387852078249105,0.7894736842105263,0.04879295696950252,1.4907142886074007,0.10771248451145343,0.14211376171947165,0.15966719561829712
x,bottom_contrarian,10,1,90,long_only,1,0.0,2.0,0.0,1.0,2026-02-10,2026-06-18,90,90,1,0,1.0,1.0,0.26765516028834346,0.9426884594500928,0.26640721153212654,0.9373382355485194,0.7308809150946639,1.2661833979257635,-0.23878504672897205,1.0,0.26665516028834324,,0.2645364405590154,0.9293355974705217,0.22293788004112414
x,bottom_contrarian,10,1,90,short_only,26,0.0,2.0,0.0,1.0,2025-09-24,2026-07-02,194,194,19,7,1.0,8.79896907216495,0.11586244781701938,0.15304107382100196,0.11259581153004139,0.1486583562451662,0.5149261594166384,0.5283761192022832,-0.35387852078249105,0.7894736842105263,0.04879295696950252,1.4907142886074007,0.10771248451145343,0.14211376171947165,0.15966719561829712
x,bottom_contrarian,10,1,180,long_short,2,0.0,2.0,0.0,1.0,2025-09-24,2026-06-12,181,181,2,0,1.0,1.988950276243094,-0.1637951454662243,-0.22045955144174234,-0.16507508385054515,-0.2221203102311725,0.7627353025066197,0.055230860669538785,-0.5368747317575586,1.0,0.30304168882054316,,-0.16699233592769336,-0.22460613470635515,0.16543770363947385
x,bottom_contrarian,10,1,180,short_only,2,0.0,2.0,0.0,1.0,2025-09-24,2026-06-12,181,181,2,0,1.0,1.988950276243094,-0.1637951454662243,-0.22045955144174234,-0.16507508385054515,-0.2221203102311725,0.7627353025066197,0.055230860669538785,-0.5368747317575586,1.0,0.30304168882054316,,-0.16699233592769336,-0.22460613470635515,0.16543770363947385
x,bottom_contrarian,10,3,1,long_short,208,0.7548076923076923,2.4038461538461537,0.20416666666666666,0.9651442307692307,2025-09-15,2026-07-16,206,79,208,0,0.38349514563106796,1.0048543689320388,-0.3718750000540434,-0.4338264553026707,-0.4200760013209266,-0.4865104449279205,0.688300966399003,-0.527241714821228,-0.5283772620399662,0.5961538461538461,0.004553354006748895,1.278310788682264,-0.48561060937123235,-0.5565718840326989,0.17142379784174855
x,bottom_contrarian,10,3,1,long_only,14,0.6428571428571429,2.5,0.2619047619047619,0.8630952380952381,2025-12-15,2026-07-15,141,11,14,0,0.07801418439716312,0.09929078014184398,-0.016580761460620708,-0.02944006929024723,-0.027365914662338064,-0.048381427448365044,0.13693391745190578,-0.2932016833174605,-0.07425375409836055,0.42857142857142855,-0.006614925456985039,0.6706103584597971,-0.043342150334620744,-0.07613692236050484,0.1871036222908955
x,bottom_contrarian,10,3,1,short_only,194,0.7628865979381443,2.3969072164948453,0.19999999999999998,0.9725085910652921,2025-09-15,2026-07-16,206,75,194,0,0.3640776699029126,0.9368932038834952,-0.3839347170503389,-0.4470954274589526,-0.4289479171575812,-0.49610369711223024,0.7090262330631909,-0.5171263660513077,-0.5526039544468296,0.6082474226804123,0.005359312318564746,1.3330398504003724,-0.4904511759728023,-0.5616710962688367,0.17142379784174855
x,bottom_contrarian,10,3,5,long_short,150,0.5133333333333333,2.1533333333333333,0.16111111111111112,0.9808888888888888,2025-09-15,2026-07-14,204,161,137,13,0.7892156862745098,3.3284313725490198,-0.2663556711077887,-0.3179203233430834,-0.28928356974551306,-0.344154745669655,0.7281511006011472,-0.21841417485305645,-0.4697944565765353,0.48905109489051096,0.005305952483319908,1.1202163803232112,-0.3223530154792158,-0.3816425036491311,0.17538557050676284
x,bottom_contrarian,10,3,5,long_only,10,0.9,2.3,0.36666666666666664,0.9,2025-12-15,2026-07-02,137,33,10,0,0.24087591240875914,0.36496350364963503,-0.19022317094202745,-0.3216626266541256,-0.1961596984924353,-0.3307817688947583,0.26810565954457166,-1.3589609069254551,-0.2592890353832249,0.4,-0.02178532694913381,0.523463336835188,-0.2049879604622601,-0.34423868309801264,0.16406474569356044
x,bottom_contrarian,10,3,5,short_only,140,0.4857142857142857,2.142857142857143,0.14642857142857144,0.9866666666666666,2025-09-15,2026-07-14,204,159,131,9,0.7794117647058824,3.1813725490196076,-0.17155583829383914,-0.20744198320031437,-0.19703494067366256,-0.23744296973769552,0.7652024964288171,0.025078639422072238,-0.4566347374894556,0.48854961832061067,0.006913729519203837,1.1570119527742408,-0.23380767031075167,-0.2803469593966299,0.17538557050676284
x,bottom_contrarian,10,3,20,long_short,113,0.415929203539823,2.061946902654867,0.13274336283185842,0.9882005899705015,2025-09-15,2026-07-17,207,202,80,33,0.9758454106280193,7.7101449275362315,0.3604759425266788,0.45463521910680194,0.34338107910042015,0.43241422214033554,0.5010369479014191,0.9667940668085278,-0.26740252286234756,0.575,4.424030347579131e-05,1.0005115929946793,0.3181332786606974,0.3997079805950221,0.156440599616809
x,bottom_contrarian,10,3,20,long_only,7,1.0,2.142857142857143,0.38095238095238093,0.9523809523809524,2025-12-15,2026-06-12,124,66,6,1,0.532258064516129,0.967741935483871,0.031969675079294824,0.06604304212726952,0.027817005525131888,0.057343204596242314,0.43381305761125083,0.34584130339948405,-0.18727462227191694,0.5,-0.0006440021564361742,0.9885733661933729,0.021615904980137657,0.04441930973581454,0.17299478577272165
x,bottom_contrarian,10,3,20,short_only,106,0.37735849056603776,2.056603773584906,0.11635220125786164,0.9905660377358491,2025-09-15,2026-07-17,207,200,79,27,0.966183574879227,7.613526570048309,0.393132853233078,0.4972532304186952,0.37578987277195686,0.4745928773051882,0.5292161981433439,0.9984538369163201,-0.2674025228623468,0.569620253164557,0.00044611688316662483,1.005150192241351,0.3501718400063738,0.4412339721978529,0.156440599616809
x,bottom_contrarian,10,3,60,long_short,65,0.27692307692307694,2.0615384615384613,0.09230769230769231,0.9897435897435897,2025-09-15,2026-06-30,199,199,40,25,1.0,12.06030150753769,-0.2828230055338643,-0.34359016994273384,-0.28619463660208044,-0.34749555581343294,0.472494492304655,-0.6625205252446793,-0.44647457579776195,0.55,-0.015683345849383776,0.8826759553880422,-0.2912236294350068,-0.3533115477850618,0.17011836973123584
x,bottom_contrarian,10,3,60,long_only,3,1.0,2.0,0.2222222222222222,1.0,2025-12-15,2026-05-06,98,98,3,0,1.0,1.836734693877551,-0.12644309460305225,-0.29362630626512287,-0.12804484401326832,-0.2969520320803001,0.5313290404850136,-0.3993454267033539,-0.23508915468871594,0.3333333333333333,-0.13723216776224476,0.06420484543471945,-0.13044306698224817,-0.3019135639573898,0.19039890325526576
x,bottom_contrarian,10,3,60,short_only,62,0.24193548387096775,2.064516129032258,0.08602150537634408,0.989247311827957,2025-09-15,2026-06-30,199,199,39,23,1.0,11.758793969849247,-0.34612024870586156,-0.4160722220290125,-0.3491749964683539,-0.4195245614875788,0.5051260926349566,-0.8182383887033726,-0.5018666725744765,0.5384615384615384,-0.018328129595053883,0.8677828424670886,-0.35373153297558624,-0.42466613622001015,0.17011836973123584
x,bottom_contrarian,10,3,90,long_short,57,0.2807017543859649,2.0701754385964914,0.08771929824561403,0.9883040935672515,2025-09-15,2026-07-02,201,201,33,24,1.0,14.776119402985074,-0.23046279567436734,-0.27995023960940546,-0.23359209428342254,-0.28361934379587395,0.3618499034647164,-0.741045649206003,-0.3663600946952331,0.5757575757575758,-0.08938942345330084,0.5630582614693254,-0.23826344536779975,-0.28908943292020517,0.16438874444998852
x,bottom_contrarian,10,3,90,long_only,3,1.0,2.0,0.2222222222222222,1.0,2025-12-15,2026-06-18,128,128,3,0,1.0,2.109375,0.27460717216031516,0.612351420759734,0.27230628961997105,0.6066262498605177,0.598399439868138,1.0898205168285984,-0.21961587390698978,0.6666666666666666,0.0950465493503343,2.888435365239317,0.2688611728718864,0.5980726742565843,0.1826692478753107
x,bottom_contrarian,10,3,90,short_only,54,0.24074074074074073,2.074074074074074,0.08024691358024691,0.9876543209876544,2025-09-15,2026-07-02,201,201,33,21,1.0,14.761194029850746,-0.19900132972349782,-0.24285307821201263,-0.20185952168864885,-0.246238770013549,0.36678678269271636,-0.5877008853499949,-0.3697874132291481,0.5454545454545454,-0.0983790093863972,0.5280080280089078,-0.2061285979671026,-0.2512900060327078,0.16438874444998852
x,bottom_contrarian,10,3,180,long_short,5,0.0,2.0,0.0,1.0,2025-09-15,2026-06-12,188,188,5,0,1.0,4.787234042553192,0.08035625804267199,0.1091596270388262,0.07787981044064662,0.10575296282343238,0.49150857137609283,0.44949473001113044,-0.3386301271943072,0.8,0.2634731519760103,6.983634291522857,0.07417426733057475,0.1006604991689739,0.17029526407488516
x,bottom_contrarian,10,3,180,short_only,5,0.0,2.0,0.0,1.0,2025-09-15,2026-06-12,188,188,5,0,1.0,4.787234042553192,0.08035625804267199,0.1091596270388262,0.07787981044064662,0.10575296282343238,0.49150857137609283,0.44949473001113044,-0.3386301271943072,0.8,0.2634731519760103,6.983634291522857,0.07417426733057475,0.1006604991689739,0.17029526407488516
