source,indicator,signal_window_days,holding_days,position_mode,n_input_signals,start_day,end_day,trading_days,active_days,n_trades,overlap_skipped,exposure_pct,average_positions,total_return_0bps,annualized_return_0bps,total_return_10bps,annualized_return_10bps,annualized_volatility_10bps,sharpe_10bps,max_drawdown_10bps,trade_hit_rate_10bps,average_trade_return_10bps,profit_factor_10bps,total_return_25bps,annualized_return_25bps,benchmark_annualized_return
x,author_net,3,20,short_only,27,2025-09-25,2026-06-17,183,167,23,4,0.912568306010929,2.5136612021857925,-0.3056438420977179,-0.39486673935601735,-0.31174367829501204,-0.40217501935012456,0.3625583293783097,-1.2367386934672384,-0.406917301205713,0.2608695652173913,-0.04127722645910532,0.49619414590309596,-0.32079670690179374,-0.41297656585425335,0.17778876072683136
x,author_net,3,60,long_short,203,2025-08-27,2026-07-13,215,215,79,124,1.0,22.046511627906977,0.39328981071692426,0.4751289679761541,0.38641382352851816,0.46659991213444707,0.2907503407430257,1.4634702563984776,-0.15226847421466327,0.4936708860759494,0.12500888947871633,2.584592407554022,0.3761611913362526,0.4538959488913379,0.19275085016168902
x,author_net,3,60,long_only,182,2025-08-27,2026-07-13,215,215,73,109,1.0,20.372093023255815,0.40580420314346277,0.4906705445544657,0.39889017753846345,0.48208108543398054,0.3297283455634738,1.3592368018666745,-0.17935774110123703,0.5068493150684932,0.14006343641210642,2.863259535128012,0.3885806222867545,0.46928685114413926,0.19275085016168902
x,author_net,3,60,short_only,21,2025-09-25,2026-06-25,188,188,14,7,1.0,4.468085106382978,-0.1580001647641086,-0.20587968422507974,-0.16134953376862338,-0.2101110987938517,0.4038926939947947,-0.3823358327250761,-0.39803452473171186,0.42857142857142855,-0.07587339698298749,0.36288869399998547,-0.16635014705613016,-0.21641790375229097,0.1585670983258678
x,author_net,3,90,long_short,144,2025-08-27,2026-07-16,218,218,51,93,1.0,21.05504587155963,0.4979067624708562,0.5953426196601508,0.4914023387404931,0.5873373716415424,0.286960859135037,1.7546693305945338,-0.151611498009403,0.6078431372549019,0.12653409082495426,2.7611975419980226,0.4816960269024093,0.5754015633387133,0.19270736230453456
x,author_net,3,90,long_only,128,2025-08-27,2026-07-16,218,218,47,81,1.0,19.40366972477064,0.5029150991572648,0.601510271714031,0.4964987205914726,0.5936092269702931,0.3314839173092556,1.572336231667463,-0.1812347524056851,0.574468085106383,0.12440757235819416,2.5957873538178027,0.48692288913035187,0.5818275022269652,0.19270736230453456
x,author_net,3,90,short_only,16,2025-09-25,2026-06-24,187,187,11,5,1.0,5.294117647058823,-0.218759357727344,-0.28300269586824367,-0.22105445069910057,-0.28583976536503175,0.3754143419554897,-0.7089267342238502,-0.32112647890307,0.8181818181818182,-0.10651679620408937,0.40797753279673055,-0.22448567383430684,-0.2900758392996168,0.15722434897706283
x,author_net,3,180,long_short,29,2025-08-27,2026-07-14,216,216,14,15,1.0,11.666666666666666,0.19221980971720853,0.22767210884464295,0.18876310979554645,0.22352037508400824,0.2515658646224345,0.9273494772737232,-0.20121428927130125,0.6428571428571429,0.14862882453118936,2.045760924804196,0.18359512424114155,0.21731702327408975,0.1967161626806937
x,author_net,3,180,long_only,24,2025-08-27,2026-07-14,216,216,14,10,1.0,11.666666666666666,0.2265410972214832,0.26900243452560413,0.22306397531892097,0.2648063486712935,0.27361103799853104,0.9951732731477256,-0.2148444540912573,0.7142857142857143,0.17581916029188233,2.379513319756261,0.2178649421520955,0.2585360216987336,0.1967161626806937
x,author_net,3,180,short_only,5,2025-09-25,2026-07-13,195,195,4,1,1.0,3.6923076923076925,-0.4163413035281396,-0.5013389739004309,-0.4175707886410155,-0.5026960427252996,0.32178182326217747,-2.0075977910361846,-0.4175707886410155,0.0,-0.5090564709630695,0.0,-0.4194109569751716,-0.5047256009229684,0.18271066522209978
x,author_net,7,1,long_short,562,2025-08-27,2026-07-16,218,167,562,0,0.7660550458715596,2.5688073394495414,0.012400022580114856,0.014347783555851867,-0.14341044652503898,-0.16384307020365674,0.3442304953914548,-0.3519238200737492,-0.3343359877584857,0.4412811387900356,-0.0037159985971320854,0.7457639229049273,-0.333550463783862,-0.3744220515996006,0.19270736230453456
x,author_net,7,1,long_only,507,2025-08-27,2026-07-16,218,155,507,0,0.7110091743119266,2.31651376146789,0.09441128044191616,0.10991901177116703,-0.062765198275897,-0.07219268743801588,0.3493683662381051,-0.04370625886959169,-0.3265498584205351,0.4418145956607495,-0.0033731031661933942,0.7691881092218654,-0.2574535158145438,-0.2911386801756841,0.19270736230453456
x,author_net,7,1,short_only,55,2025-09-25,2026-07-16,198,42,55,0,0.21212121212121213,0.2777777777777778,-0.3047412267970693,-0.37035535060514235,-0.33360650250904755,-0.4034356195306046,0.21353718665930405,-2.3073460630725586,-0.3734679356565396,0.43636363636363634,-0.006876871024148743,0.5301749727924816,-0.37472333326365903,-0.4498823793002027,0.1828146733475957
x,author_net,7,5,long_short,521,2025-08-27,2026-07-15,217,215,459,62,0.9907834101382489,10.566820276497696,0.03322587816011291,0.038687333250827516,-0.01040344434827023,-0.012071253461321985,0.31887565118343925,0.1217678396663091,-0.30675358183612533,0.4880174291938998,0.004775407123918981,1.141938043640592,-0.07243796508743605,-0.08361979160084143,0.20123185384960296
x,author_net,7,5,long_only,470,2025-08-27,2026-07-15,217,214,419,51,0.9861751152073732,9.631336405529954,0.15353657212592986,0.18041964197019333,0.10496082261847284,0.12289283905824022,0.3609660536856508,0.5023544217299194,-0.2858909514870287,0.4892601431980907,0.006695385420497247,1.201684864360477,0.03588202123337014,0.04178883331595995,0.20123185384960296
x,author_net,7,5,short_only,51,2025-09-25,2026-07-02,193,135,49,2,0.6994818652849741,1.2642487046632125,-0.5878598294832879,-0.6856855219898883,-0.5984836099250219,-0.6962225196976279,0.45740947558580025,-2.364728375092936,-0.6019460906015408,0.46938775510204084,-0.014940937694118375,0.5880705337369329,-0.6139162455171322,-0.7113774328964092,0.1757124030155257
x,author_net,7,20,long_short,481,2025-08-27,2026-07-15,217,217,281,200,1.0,25.898617511520737,0.33851338518489027,0.4029614493328557,0.32241613163010885,0.3833868546645185,0.3021201898165494,1.2261647604141024,-0.18751442322208234,0.5338078291814946,0.021045084655942712,1.3457817767393936,0.29862828730951896,0.3545307482563449,0.20123185384960296
x,author_net,7,20,long_only,436,2025-08-27,2026-07-15,217,217,265,171,1.0,24.42396313364055,0.2272579531684331,0.2684704310837702,0.21255980733582236,0.2508455264132512,0.3546071495549,0.8093086535788595,-0.19536298924058992,0.5207547169811321,0.018742138385775372,1.2983218911951488,0.1908380949152051,0.2248616262994496,0.20123185384960296
x,author_net,7,20,short_only,45,2025-09-25,2026-06-24,187,187,40,5,1.0,4.278074866310161,0.03335628953642589,0.04520944607091293,0.023565122078663236,0.031885606091449636,0.36844027022714415,0.26909719337605476,-0.2286792800574946,0.525,0.02458739517859719,1.7357118724105487,0.009048104589501227,0.01221230423470332,0.15722434897706283
x,author_net,7,60,long_short,296,2025-08-27,2026-07-15,217,217,108,188,1.0,29.861751152073733,0.4490700276060917,0.5384080036898842,0.440959487059849,0.5284131513689772,0.2522487074687263,1.8091070467223491,-0.14893097667783617,0.5185185185185185,0.08049487434801207,1.9490341181283866,0.42887612337042635,0.5135393094321234,0.20123185384960296
x,author_net,7,60,long_only,259,2025-08-27,2026-07-15,217,217,101,158,1.0,27.92626728110599,0.4650279505753325,0.5580997248161033,0.4567607336590873,0.5478938207458834,0.3141525811164319,1.5488815085661742,-0.1624064693711228,0.5148514851485149,0.12305367252479764,2.7070220284157798,0.4444446885891056,0.5327069566267655,0.20123185384960296
x,author_net,7,60,short_only,37,2025-09-25,2026-06-25,188,188,27,10,1.0,8.617021276595745,-0.2205446985721108,-0.2839321386327267,-0.22382128218620623,-0.2879640944802391,0.4123641575519577,-0.6165623751993018,-0.4076411140960393,0.5185185185185185,-0.0585826325889001,0.5686722229281904,-0.228711575786246,-0.2939710047542493,0.1585670983258678
x,author_net,7,90,long_short,216,2025-08-27,2026-07-16,218,218,72,144,1.0,29.724770642201836,0.401449409159947,0.47719600376403215,0.39517067996288624,0.46954841457451635,0.25974801135053616,1.6130035490382635,-0.14798431587760263,0.5972222222222222,0.0908784233338351,1.7830538510117055,0.3858030573804361,0.45814848665785557,0.19270736230453456
x,author_net,7,90,long_only,183,2025-08-27,2026-07-16,218,218,65,118,1.0,26.834862385321102,0.25478505908157945,0.29999756393056387,0.24901527656392441,0.2930900664954057,0.3452793749133704,0.9176489154613252,-0.18476159757398858,0.5846153846153846,0.12929566120278885,2.478322959426969,0.24040806014734017,0.282794887684342,0.19270736230453456
