strategy,rank_band_pct,window_days,holding_days,position_mode,condition,execution_filter,n_input_events,full_n_trades,full_trading_days,full_annualized_return,full_total_return,full_sharpe,full_max_drawdown,full_hit_rate,full_exposure,full_benchmark_annualized_return,early_n_trades,early_trading_days,early_annualized_return,early_total_return,early_sharpe,early_max_drawdown,early_hit_rate,early_exposure,early_benchmark_annualized_return,late_n_trades,late_trading_days,late_annualized_return,late_total_return,late_sharpe,late_max_drawdown,late_hit_rate,late_exposure,late_benchmark_annualized_return,min_half_annualized_return
bottom_contrarian,5,1,1,long_short,all,unfiltered,49,49,237,0.21413197802657513,0.20019018416617196,1.0428443770166613,-0.1468075694763289,0.6122448979591837,0.10970464135021098,0.1997291534303105,8,119,0.17463293148280368,0.07896997409385254,2.490993705652332,-0.013473523181925295,0.875,0.05042016806722689,0.21040479158186742,41,118,0.25531104403916616,0.1123480847315732,0.938854707073768,-0.1454153713936538,0.5609756097560976,0.1694915254237288,0.17273788205048435,0.17463293148280368
bottom_contrarian,5,1,1,long_only,all,unfiltered,3,3,237,-0.03574510862936531,-0.03365364722189357,-0.7204914572862674,-0.04684995636126443,0.3333333333333333,0.012658227848101266,0.1997291534303105,0,0,,,,,,,,3,118,-0.07049927295988012,-0.03365364722189357,-1.0199657587250546,-0.04684995636126443,0.3333333333333333,0.025423728813559324,0.17273788205048435,
bottom_contrarian,5,1,1,short_only,all,unfiltered,46,46,237,0.21386666873877758,0.19994353068096693,1.0417513987569946,-0.1468075694763289,0.6304347826086957,0.10548523206751055,0.1997291534303105,8,119,0.17463293148280368,0.07896997409385254,2.490993705652332,-0.013473523181925295,0.875,0.05042016806722689,0.21040479158186742,38,118,0.25476016482078223,0.11211948385191262,0.9372898458092053,-0.1454153713936538,0.5789473684210527,0.16101694915254236,0.17273788205048435,0.17463293148280368
bottom_contrarian,5,1,3,long_short,all,unfiltered,36,35,237,0.19061824190196686,0.17831732294369051,0.6906272221584885,-0.2686236525670064,0.6571428571428571,0.22362869198312235,0.1997291534303105,8,119,0.08671597287020538,0.040051396850266485,0.5476775660551463,-0.08152010288323175,0.875,0.13445378151260504,0.21040479158186742,27,118,0.30546455863952837,0.13294143588687435,0.8296124154777035,-0.2686236525670064,0.5925925925925926,0.3135593220338983,0.17273788205048435,0.08671597287020538
bottom_contrarian,5,1,3,long_only,all,unfiltered,2,2,237,-0.02752079104713978,-0.025904057477795117,-0.47086025865610687,-0.0431941182477279,0.5,0.02109704641350211,0.1997291534303105,0,0,,,,,,,,2,118,-0.05450782015421651,-0.025904057477795117,-0.6661758313314924,-0.0431941182477279,0.5,0.0423728813559322,0.17273788205048435,
bottom_contrarian,5,1,3,short_only,all,unfiltered,34,34,237,0.22009888684975665,0.20573667069323043,0.7543772274036252,-0.2686236525670064,0.6764705882352942,0.22362869198312235,0.1997291534303105,8,119,0.08671597287020538,0.040051396850266485,0.5476775660551463,-0.08152010288323175,0.875,0.13445378151260504,0.21040479158186742,26,118,0.3711977891832299,0.1593048904551564,0.9288731340624554,-0.2686236525670064,0.6153846153846154,0.3135593220338983,0.17273788205048435,0.08671597287020538
bottom_contrarian,5,1,5,long_short,all,unfiltered,29,25,237,-0.328831604122214,-0.31271138938449905,-0.7403987859112221,-0.5163962044547236,0.44,0.29957805907172996,0.1997291534303105,7,119,0.24662763455087333,0.10970877639175058,1.064431445812089,-0.06801023419772712,0.7142857142857143,0.17647058823529413,0.21040479158186742,18,118,-0.6405426333616022,-0.3806585788658541,-1.6021745976169373,-0.5017050170978403,0.3333333333333333,0.423728813559322,0.17273788205048435,-0.6405426333616022
bottom_contrarian,5,1,5,long_only,all,unfiltered,1,1,237,-0.1236480401734601,-0.11673595380129365,-1.0116740416375922,-0.1326106070469525,0.0,0.02109704641350211,0.1997291534303105,0,0,,,,,,,,1,118,-0.2328657913686476,-0.11673595380129365,-1.4336359773330507,-0.1326106070469525,0.0,0.0423728813559322,0.17273788205048435,
bottom_contrarian,5,1,5,short_only,all,unfiltered,28,24,237,-0.2900663989471981,-0.27544089354801604,-0.6039114464173184,-0.5163962044547236,0.4583333333333333,0.29535864978902954,0.1997291534303105,7,119,0.24662763455087333,0.10970877639175058,1.064431445812089,-0.06801023419772712,0.7142857142857143,0.17647058823529413,0.21040479158186742,17,118,-0.5976291424792443,-0.34707274388879894,-1.3889694238694907,-0.5017050170978403,0.35294117647058826,0.4152542372881356,0.17273788205048435,-0.5976291424792443
bottom_contrarian,5,1,10,long_short,all,unfiltered,25,20,237,-0.6668284598771874,-0.6443027384657292,-1.5472365050304981,-0.6940761952509866,0.55,0.3881856540084388,0.1997291534303105,7,119,0.15707898801977271,0.0713254451720069,0.8191158990829042,-0.08398324470538243,0.7142857142857143,0.2605042016806723,0.21040479158186742,13,118,-0.9050728103186005,-0.6679839322987781,-2.4880034502544226,-0.6797892664169836,0.46153846153846156,0.5169491525423728,0.17273788205048435,-0.9050728103186005
