selection_rank,strategy,rank_band_pct,window_days,holding_days,position_mode,condition,execution_filter,n_input_events,full_n_trades,full_trading_days,full_annualized_return,full_total_return,full_sharpe,full_max_drawdown,full_hit_rate,full_exposure,full_benchmark_annualized_return,early_n_trades,early_trading_days,early_annualized_return,early_total_return,early_sharpe,early_max_drawdown,early_hit_rate,early_exposure,early_benchmark_annualized_return,late_n_trades,late_trading_days,late_annualized_return,late_total_return,late_sharpe,late_max_drawdown,late_hit_rate,late_exposure,late_benchmark_annualized_return,min_half_annualized_return,selection_annualized_return_50bps,selection_sharpe_50bps,selection_max_drawdown_50bps,late_excess_vs_benchmark,late_annualized_return_50bps,late_annualized_return_100bps,late_annualized_return_lag2_50bps
1,bottom_contrarian,25,30,3,short_only,strength_top50,price10_adv50m,206,205,237,0.235742290268097,0.22027021305496008,0.6866269709782831,-0.38888522188239794,0.5073170731707317,0.7257383966244726,0.1997291534303105,75,119,1.9030070076501473,0.6541205260827037,2.5835309841285046,-0.12604000413587013,0.5466666666666666,0.5882352941176471,0.21040479158186742,127,118,-0.48596244209537076,-0.26772839761874223,-1.227720387326306,-0.38839051540544145,0.48031496062992124,0.847457627118644,0.17273788205048435,-0.48596244209537076,1.365748225165723,2.139329355288293,-0.1391875067200432,-0.6587003241458551,-0.610333284004821,-0.7245577834063699,0.10358752809139027
2,bottom_contrarian,25,30,3,long_short,strength_top50,price10_adv50m,222,221,237,0.17882147393347547,0.16733411842448764,0.5890140477295279,-0.35030808074050357,0.49321266968325794,0.7341772151898734,0.1997291534303105,77,119,1.847038715001057,0.6389837522621837,2.534652057141057,-0.12604000413587013,0.5454545454545454,0.5882352941176471,0.21040479158186742,140,118,-0.5287973825235981,-0.296962961130657,-1.6019198138871433,-0.35030808074050257,0.45714285714285713,0.864406779661017,0.17273788205048435,-0.5287973825235981,1.3195323074022371,2.0904282477902703,-0.1391875067200431,-0.7015352645740824,-0.6465046814632065,-0.7533571928178686,0.22806797244955646
3,bottom_contrarian,10,45,3,short_only,consensus_80,price10_adv50m,206,205,237,0.9790798980155386,0.9002760769614848,1.5609726819095318,-0.24687939594678487,0.5560975609756098,0.7552742616033755,0.1997291534303105,64,119,1.5684324240038978,0.5611851127439678,2.2274878488430563,-0.11781685179962964,0.71875,0.680672268907563,0.21040479158186742,140,118,0.5830186978528524,0.2399670137318075,1.0817645723931828,-0.24687939594678476,0.4857142857142857,0.8305084745762712,0.17273788205048435,0.5830186978528524,1.0581183584010518,1.7614033470948711,-0.1301043387189118,0.4102808158023681,0.20612860651783604,-0.1419936639387691,0.03895545490282526
4,bottom_contrarian,10,45,3,short_only,consensus_90,price10_adv50m,204,203,237,0.9458988798421053,0.8702976505354565,1.520834845035365,-0.26551421755359383,0.5566502463054187,0.7552742616033755,0.1997291534303105,64,119,1.5684324240038978,0.5611851127439678,2.2274878488430563,-0.11781685179962964,0.71875,0.680672268907563,0.21040479158186742,138,118,0.5301629995619159,0.22040550877864318,1.0168833993602655,-0.26551421755359395,0.4855072463768116,0.8305084745762712,0.17273788205048435,0.5301629995619159,1.0581183584010518,1.7614033470948711,-0.1301043387189118,0.3574251175114316,0.16669681743012776,-0.169295645428027,0.020940726188647618
5,bottom_contrarian,10,45,3,short_only,strength_top50,price10_adv50m,89,88,237,0.25491506905846784,0.2380678142602648,0.72695437658426,-0.3404837875039243,0.5,0.4430379746835443,0.1997291534303105,21,119,1.1423929975258917,0.433038727661498,2.257251261998347,-0.09072452645370921,0.6666666666666666,0.2689075630252101,0.21040479158186742,66,118,-0.23871388415444317,-0.11989530357642453,-0.24932189870974167,-0.3404837875039243,0.45454545454545453,0.6186440677966102,0.17273788205048435,-0.23871388415444317,0.9622563593893576,2.030013275769503,-0.09805011757118953,-0.4114517662049275,-0.3831721531030555,-0.5260767920376055,-0.1521931596456353
6,bottom_contrarian,10,45,3,long_short,strength_top50,price10_adv50m,101,100,237,0.0822329519769136,0.07715413081359235,0.39861470383150643,-0.41907254736042343,0.49,0.4810126582278481,0.1997291534303105,22,119,1.0640164463806792,0.4080385480488009,2.1539810964191015,-0.10658735675779485,0.6363636363636364,0.2773109243697479,0.21040479158186742,77,118,-0.41286355044262946,-0.22068840335873252,-0.7751284969586817,-0.41907254736042343,0.45454545454545453,0.6864406779661016,0.17273788205048435,-0.41286355044262946,0.890467396733887,1.9262110692985608,-0.11378569483636736,-0.5856014324931138,-0.5361807374337031,-0.6547665562495024,-0.12847559417287102
7,bottom_contrarian,10,45,3,short_only,all,price10_adv50m,249,248,237,0.7960833278276203,0.7345547016749479,1.4205084222128133,-0.2120205458106157,0.5483870967741935,0.7932489451476793,0.1997291534303105,66,119,1.3350658814763863,0.49251614425449763,2.010042698213803,-0.11781685179962964,0.696969696969697,0.6890756302521008,0.21040479158186742,181,118,0.4340848601911844,0.1839048379387962,0.948971949165034,-0.21202054581061525,0.4972375690607735,0.8983050847457628,0.17273788205048435,0.4340848601911844,0.8629046867968682,1.5384189265330348,-0.13010433871891158,0.26134697814070007,0.06228875316594795,-0.2705047022367021,-0.027018543950424245
8,bottom_contrarian,25,45,3,long_short,strength_top50,price10_adv50m,202,200,237,-0.04084405189379314,-0.03846024097756051,0.11546920011453382,-0.41626765990747405,0.495,0.7510548523206751,0.1997291534303105,81,119,1.311116403298092,0.48526774018921537,2.4209164030531154,-0.09992349157848834,0.5432098765432098,0.6386554621848739,0.21040479158186742,117,118,-0.5881617372653711,-0.3399235396054452,-1.658547221414467,-0.41398127759331904,0.46153846153846156,0.847457627118644,0.17273788205048435,-0.5881617372653711,0.8565569703936449,1.8478496498931947,-0.11002875707511384,-0.7608996193158555,-0.6912202655377786,-0.7847125343285627,0.0204106310867902
9,bottom_contrarian,10,45,3,long_short,consensus_80,price10_adv50m,221,220,237,0.5880763796182533,0.5449511648692487,1.1817530989486607,-0.3175727660234995,0.5318181818181819,0.7679324894514767,0.1997291534303105,69,119,1.31641318033452,0.48687423233651184,2.0411461032726126,-0.13320704100428105,0.6666666666666666,0.7058823529411765,0.21040479158186742,150,118,0.1290788698597498,0.058493884672731866,0.4909841815570079,-0.3175727660234994,0.47333333333333333,0.8305084745762712,0.17273788205048435,0.1290788698597498,0.8485832815462828,1.5570415303445408,-0.14528069236937313,-0.043659012190734536,-0.14267531481872775,-0.3927235285097369,0.0931186767975325
10,bottom_contrarian,10,45,3,long_short,consensus_90,price10_adv50m,219,218,237,0.5498155272597383,0.5099195794615483,1.127931199483383,-0.33445838792301885,0.5321100917431193,0.7679324894514767,0.1997291534303105,69,119,1.31641318033452,0.48687423233651184,2.0411461032726126,-0.13320704100428105,0.6666666666666666,0.7058823529411765,0.21040479158186742,148,118,0.07510718733027089,0.03449266070680812,0.399400154265448,-0.33445838792301863,0.47297297297297297,0.8305084745762712,0.17273788205048435,0.07510718733027089,0.8485832815462828,1.5570415303445408,-0.14528069236937313,-0.09763069472021346,-0.18298357828943623,-0.4206778753725875,0.08385555866286265
