source_scope,indicator,window_days,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
all,author_net,1,1D,all,230,0.45217391304347826,0.4581497797356828,0.3945685556180855,0.5231238723492917,-0.0038929654439348906,-0.004230540221348111,0.02751530423997815,-0.029817251532244068,0.9227981395342016,0.7616746548536268,-0.003356873023534693,-0.002357867196503438,0.9168909036457268,0.7752573494240292,-0.0033844646312755017,-0.0033844646312755017,2026-07-19T14:40:22+00:00
all,author_net,1,1D,bear,16,0.5,0.5,0.27999563610326017,0.7200043638967398,0.0027767962873297067,-0.0002426431776720861,0.023306477355437352,-0.01775288478077794,1.3128276132717656,1.3128276132717656,0.004640747872553336,-6.96996331139843e-05,1.7328286102785284,1.7328286102785284,0.004640747872553336,0.004640747872553336,2026-07-19T14:40:22+00:00
all,author_net,1,1D,bull,214,0.4485981308411215,0.4549763033175355,0.38918922310629506,0.522373470126684,-0.004391639218235047,-0.004500238839910908,0.027866039813689885,-0.030635174701834994,0.9096092999274052,0.7400211253646687,-0.003963327688640894,-0.0026769807507786014,0.8933587848545484,0.7457603769220579,-0.003984480519412237,-0.003984480519412237,2026-07-19T14:40:22+00:00
all,author_net,1,20D,all,167,0.48502994011976047,0.4759036144578313,0.40133776124618836,0.5515594874259051,0.03769689124667118,-0.009634397744961998,0.19702022782643833,-0.11236346064822578,1.7534190090784578,1.6514760434343612,0.028657197728775303,-0.007049756102886828,1.6574135154111345,1.5050076749135588,0.13912127834986535,-0.09494267650387128,2026-07-19T14:40:22+00:00
all,author_net,1,20D,bear,14,0.42857142857142855,0.5714285714285714,0.3259064457965074,0.7861920109552588,-0.0061770316042495865,-0.017104271859456288,0.15683877304988392,-0.12843888509484971,1.221115964484287,0.9158369733632152,0.008741854672864932,0.015644115661362146,0.867416635206453,1.1565555136086039,0.073700800664362,-0.09198795660953178,2026-07-19T14:40:22+00:00
all,author_net,1,20D,bull,153,0.49019607843137253,0.46710526315789475,0.389580731981444,0.5462514908707197,0.041711498566363275,-0.006492238601972122,0.2002347442085627,-0.11071469916652077,1.8085651292553218,1.7390049319762708,0.030491505641819683,-0.008922818454794978,1.7529567304567182,1.5365423192892222,0.14510746585049966,-0.09521304303015071,2026-07-19T14:40:22+00:00
all,author_net,1,5D,all,198,0.42424242424242425,0.4031413612565445,0.3361479207478257,0.4739540964309215,-0.003886580202263913,-0.010123260994839844,0.08687761804852376,-0.07076546312389695,1.2276838759101665,0.9046091717232806,-0.0021880486832589717,-0.01005173886114974,1.3909677052118328,0.9395132745729047,0.04264497936495587,-0.04856914806344473,2026-07-19T14:40:22+00:00
all,author_net,1,5D,bear,15,0.4666666666666667,0.4666666666666667,0.24809535365737387,0.698830199745016,-0.007738428616925471,-0.007281995266703145,0.03834001756616266,-0.048057069027127586,0.7978018289987728,0.6980766003739262,-0.0010661644566273129,-0.0019309377287528573,1.0744792060976829,0.9401693053354725,0.02058519756599401,-0.01871040034276926,2026-07-19T14:40:22+00:00
all,author_net,1,5D,bull,183,0.4207650273224044,0.3977272727272727,0.32834779418634086,0.47147589365477716,-0.0035708549223736215,-0.013811942136041977,0.09129012718328387,-0.07247930418780406,1.2595337138824945,0.9149443015938874,-0.0022836638162105336,-0.010813088474778632,1.4226515514109062,0.93948687357324,0.04445315820093635,-0.05101658640120501,2026-07-19T14:40:22+00:00
all,author_net,1,60D,all,93,0.5053763440860215,0.45161290322580644,0.35439761353554855,0.5526669834913936,0.1445625086022872,0.008276627575889206,0.4100876098455017,-0.12673487745056236,3.2357912683150034,3.3061345567566334,0.11250651307258157,-0.01594484737557833,3.151983115763612,2.595750801217092,0.2790896196006879,-0.12687438752736727,2026-07-19T14:40:22+00:00
