indicator,config_id,param_a_name,param_a,param_b_name,param_b,param_c_name,param_c,window_days,horizon_days,split_day,split,raw_events,n_events,n_tickers,n_months,max_ticker_share,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,positive_month_rate,avg_monthly_excess_pct,monthly_lcb_score
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=0,min_same_authors,2,min_consensus,0.5,min_strength,0.0,7,20,2026-03-12,all,495,291,133,11,0.027491408934707903,0.49828178694158076,0.44123241032658417,0.5553759363964317,0.011151238176133324,-1.2878687169259884e-05,1.185744299585463,1.1776227632869325,0.6363636363636364,0.018704288650828665,-0.003125703843003806
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=0,min_same_authors,2,min_consensus,0.5,min_strength,0.0,7,20,2026-03-12,train,196,115,59,7,0.05217391304347826,0.5217391304347826,0.4312239832374924,0.6108488762647113,0.007026053926595143,0.005659076138051167,1.031998239095875,1.1258162608318638,0.7142857142857143,0.02982455831819542,0.0026710788490108064
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=0,min_same_authors,2,min_consensus,0.5,min_strength,0.0,7,20,2026-03-12,test,257,154,111,4,0.01948051948051948,0.4935064935064935,0.41566862130765647,0.5716604365017245,0.0135617457778329,-0.0020776639927652107,1.218285732715566,1.1870476370049103,0.5,-0.00026147511373811024,-0.04023280685961675
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=1.5,min_same_authors,2,min_consensus,0.5,min_strength,1.5,7,20,2026-03-12,all,487,284,132,11,0.028169014084507043,0.4964788732394366,0.43876538495706147,0.554286345644242,0.011816039503671433,-0.0005837565046291071,1.204862987442882,1.1880117568492752,0.6363636363636364,0.013953617920685767,-0.006218442879375884
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=1.5,min_same_authors,2,min_consensus,0.5,min_strength,1.5,7,20,2026-03-12,train,189,110,58,7,0.05454545454545454,0.5181818181818182,0.4257793754404014,0.6093572087305745,0.009184120014492042,0.0034044936176476637,1.0844393354696897,1.1662838136183455,0.5714285714285714,0.02229890030665949,-0.0015933583230283883
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=1.5,min_same_authors,2,min_consensus,0.5,min_strength,1.5,7,20,2026-03-12,test,257,153,110,4,0.0196078431372549,0.48366013071895425,0.40585051180675535,0.562270162168127,0.011876419422137971,-0.0038199312046720557,1.2402498708635123,1.1617530435936698,0.75,-0.00228741247806979,-0.04216570475874753
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=3,min_same_authors,2,min_consensus,0.5,min_strength,3.0,7,20,2026-03-12,all,387,222,114,11,0.036036036036036036,0.5135135135135135,0.4480967614544488,0.5784705483359278,0.016209041135541197,0.0013537593359488342,1.1994204966603907,1.2660549686970795,0.7272727272727273,0.014547215760685116,-0.004324852734932034
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=3,min_same_authors,2,min_consensus,0.5,min_strength,3.0,7,20,2026-03-12,train,126,72,39,7,0.06944444444444445,0.5138888888888888,0.40069754605192803,0.6256732547092813,0.014030700608281377,0.000853225084474829,1.2490386649716458,1.3204123029700259,0.8571428571428571,0.02357410360442933,0.005753063854815874
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=3,min_same_authors,2,min_consensus,0.5,min_strength,3.0,7,20,2026-03-12,test,227,133,101,4,0.022556390977443608,0.5112781954887218,0.4272083071737977,0.5947148733144412,0.01690631770546654,0.0017905298799216762,1.1738898821510495,1.2280694151734055,0.5,0.0003632081130891065,-0.04533081394950302
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=5,min_same_authors,2,min_consensus,0.5,min_strength,5.0,7,20,2026-03-12,all,184,109,50,11,0.08256880733944955,0.5229357798165137,0.4299950906023555,0.6143148647301524,0.03296868286877196,0.007955750914809379,1.5232629720259565,1.6697305654899908,0.6363636363636364,0.01765053621934961,0.00022889985638411756
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=5,min_same_authors,2,min_consensus,0.5,min_strength,5.0,7,20,2026-03-12,train,51,34,20,7,0.14705882352941177,0.4411764705882353,0.2888348224624216,0.6054610074379694,-0.008444495862942311,-0.0056574000751127285,1.0774830000896123,0.8506444737549571,0.42857142857142855,0.00810288315901964,-0.0072483302407002365
weighted_net,min_same_authors=2;min_consensus=0.5;min_strength=5,min_same_authors,2,min_consensus,0.5,min_strength,5.0,7,20,2026-03-12,test,113,63,45,4,0.047619047619047616,0.5714285714285714,0.44861615143095024,0.6860308200563566,0.059801097715919425,0.038955102275827214,1.660452912703195,2.2139372169375933,0.75,0.03552998281906279,-0.011820822258480385
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=0,min_same_authors,2,min_consensus,0.67,min_strength,0.0,7,20,2026-03-12,all,483,287,132,11,0.0313588850174216,0.49825783972125437,0.44081797720647886,0.5557437234394511,0.009803533619822748,-1.2878687169259884e-05,1.1622027937185695,1.1541319409844129,0.6363636363636364,0.01985918006792264,-0.0034475535681544947
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=0,min_same_authors,2,min_consensus,0.67,min_strength,0.0,7,20,2026-03-12,train,187,112,58,7,0.05357142857142857,0.5178571428571429,0.42626984959636616,0.6082601022941003,0.0078065533484164215,0.0034044936176476637,1.0596436574973318,1.138135780274912,0.7142857142857143,0.03419858780642455,0.005231587167824486
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=0,min_same_authors,2,min_consensus,0.67,min_strength,0.0,7,20,2026-03-12,test,254,152,110,4,0.019736842105263157,0.4934210526315789,0.4150885967902005,0.5720778477802321,0.01046188015465278,-0.0029418252533367495,1.1718699026748902,1.1414317233846334,0.5,-0.004132804008037451,-0.04571734225606226
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=1.5,min_same_authors,2,min_consensus,0.67,min_strength,1.5,7,20,2026-03-12,all,471,280,131,11,0.02857142857142857,0.5071428571428571,0.448884571666725,0.5652078023529802,0.010296856646201509,0.0006833674955945557,1.1308742291913727,1.1636531923563402,0.5454545454545454,0.014071237903398492,-0.006932990088824583
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=1.5,min_same_authors,2,min_consensus,0.67,min_strength,1.5,7,20,2026-03-12,train,181,109,58,7,0.05504587155963303,0.5229357798165137,0.4299950906023555,0.6143148647301524,0.011170200870510077,0.005659076138051167,1.1009385928068114,1.2067980728843895,0.5714285714285714,0.02599889402100847,0.0020734597929730238
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=1.5,min_same_authors,2,min_consensus,0.67,min_strength,1.5,7,20,2026-03-12,test,249,149,109,4,0.020134228187919462,0.4966442953020134,0.41746244831818713,0.5759948242849672,0.007628114011679147,-0.0020637193020014433,1.1164562027698846,1.101570120066286,0.5,-0.007552607156506636,-0.04987413856764322
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=3,min_same_authors,2,min_consensus,0.67,min_strength,3.0,7,20,2026-03-12,all,380,224,114,11,0.04017857142857143,0.5178571428571429,0.45267331801393645,0.5824388167196102,0.015574881840687848,0.0013537593359488342,1.1714650614121154,1.2582402511463462,0.7272727272727273,0.014387436862063308,-0.004965981083384639
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=3,min_same_authors,2,min_consensus,0.67,min_strength,3.0,7,20,2026-03-12,train,122,73,39,7,0.0821917808219178,0.5068493150684932,0.39472240623307775,0.6182914018771178,0.01568623592207269,0.0005565390717054974,1.3390350251617151,1.3762304425273184,0.8571428571428571,0.024490455763011208,0.006379356623677435
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=3,min_same_authors,2,min_consensus,0.67,min_strength,3.0,7,20,2026-03-12,test,223,134,101,4,0.022388059701492536,0.5149253731343284,0.431076014846751,0.5979428306749237,0.014623672617992967,0.0044151903291286265,1.1266838139104705,1.1960182024588073,0.5,-0.0023420737234304554,-0.049333198903488876
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=5,min_same_authors,2,min_consensus,0.67,min_strength,5.0,7,20,2026-03-12,all,179,109,50,11,0.08256880733944955,0.5229357798165137,0.4299950906023555,0.6143148647301524,0.032863106750953434,0.006275177408926247,1.5365036929214102,1.6842444326253918,0.6363636363636364,0.01745028574978924,0.0004205836361766517
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=5,min_same_authors,2,min_consensus,0.67,min_strength,5.0,7,20,2026-03-12,train,50,34,20,7,0.14705882352941177,0.4411764705882353,0.2888348224624216,0.6054610074379694,-0.00460233868270309,-0.0056574000751127285,1.1560420705155123,0.9126647925122465,0.42857142857142855,0.007402425486876417,-0.008049038067113667
weighted_net,min_same_authors=2;min_consensus=0.67;min_strength=5,min_same_authors,2,min_consensus,0.67,min_strength,5.0,7,20,2026-03-12,test,108,63,45,4,0.047619047619047616,0.5714285714285714,0.44861615143095024,0.6860308200563566,0.057544889129088436,0.038955102275827214,1.6261028462662137,2.1681371283549518,0.75,0.0340996834218197,-0.01310619293068327
