top_percentile,min_same_authors,min_consensus,window_days,horizon_days,split_day,split,raw_events,n_events,n_tickers,n_months,max_ticker_share,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,positive_month_rate,avg_monthly_excess_pct,monthly_lcb_score
5,2,0.55,7,20,2026-03-12,all,236,149,75,10,0.053691275167785234,0.4899328859060403,0.4109336453613852,0.569438172448078,0.01455032338556641,-0.0012388553861852891,1.3123400883030438,1.260537190080555,0.6,0.006527300849425301,-0.0182733145716834
5,2,0.55,7,20,2026-03-12,train,98,62,37,6,0.08064516129032258,0.43548387096774194,0.31942588902489055,0.5590701202785123,-0.02441459839981597,-0.01553929334162113,0.8252944914661596,0.6366557505596089,0.5,-0.014555405938434995,-0.037984136166983845
5,2,0.55,7,20,2026-03-12,test,123,76,52,4,0.039473684210526314,0.5263157894736842,0.41552028690262677,0.6345789980939448,0.04503449239177765,0.007978935153018396,1.6598606056730407,1.844289561858934,0.75,0.0457840638913513,-0.009101797759381879
5,2,0.6,7,20,2026-03-12,all,236,149,75,10,0.053691275167785234,0.4899328859060403,0.4109336453613852,0.569438172448078,0.01455032338556641,-0.0012388553861852891,1.3123400883030438,1.260537190080555,0.6,0.006527300849425301,-0.0182733145716834
5,2,0.6,7,20,2026-03-12,train,98,62,37,6,0.08064516129032258,0.43548387096774194,0.31942588902489055,0.5590701202785123,-0.02441459839981597,-0.01553929334162113,0.8252944914661596,0.6366557505596089,0.5,-0.014555405938434995,-0.037984136166983845
5,2,0.6,7,20,2026-03-12,test,123,76,52,4,0.039473684210526314,0.5263157894736842,0.41552028690262677,0.6345789980939448,0.04503449239177765,0.007978935153018396,1.6598606056730407,1.844289561858934,0.75,0.0457840638913513,-0.009101797759381879
5,2,0.67,7,20,2026-03-12,all,218,146,74,10,0.0547945205479452,0.4657534246575342,0.3867570668607269,0.54650572917247,0.010284094236322976,-0.005788611873391081,1.3448742398650628,1.1724544655233882,0.6,0.0044524891116996005,-0.020246990099399554
5,2,0.67,7,20,2026-03-12,train,90,60,36,6,0.08333333333333333,0.4166666666666667,0.30064278558341617,0.5427191897735989,-0.023552315336331103,-0.01553929334162113,0.9084616373863934,0.6489011695617096,0.5,-0.014725369233454062,-0.038024144528394394
5,2,0.67,7,20,2026-03-12,test,114,75,51,4,0.04,0.49333333333333335,0.38330010247790747,0.6040162154218635,0.03540713086960183,-0.0038199312046720557,1.6224781071778906,1.5797813148837356,0.75,0.04085197948956565,-0.014924822983029495
5,2,0.75,7,20,2026-03-12,all,218,146,74,10,0.0547945205479452,0.4657534246575342,0.3867570668607269,0.54650572917247,0.010284094236322976,-0.005788611873391081,1.3448742398650628,1.1724544655233882,0.6,0.0044524891116996005,-0.020246990099399554
5,2,0.75,7,20,2026-03-12,train,90,60,36,6,0.08333333333333333,0.4166666666666667,0.30064278558341617,0.5427191897735989,-0.023552315336331103,-0.01553929334162113,0.9084616373863934,0.6489011695617096,0.5,-0.014725369233454062,-0.038024144528394394
5,2,0.75,7,20,2026-03-12,test,114,75,51,4,0.04,0.49333333333333335,0.38330010247790747,0.6040162154218635,0.03540713086960183,-0.0038199312046720557,1.6224781071778906,1.5797813148837356,0.75,0.04085197948956565,-0.014924822983029495
5,2,0.8,7,20,2026-03-12,all,216,145,74,10,0.04827586206896552,0.46206896551724136,0.38294742207205956,0.5431484379984101,0.010145641588384647,-0.006315276643272583,1.3589112520290634,1.1672699216147082,0.6,0.004197188952845889,-0.020580235162432764
5,2,0.8,7,20,2026-03-12,train,90,59,36,6,0.06779661016949153,0.4067796610169492,0.29089033587192775,0.5340659874466261,-0.02436716280196854,-0.018059632221876232,0.9478940224628729,0.64998447254597,0.5,-0.015108579331173268,-0.03855164533086578
5,2,0.8,7,20,2026-03-12,test,112,75,51,4,0.04,0.49333333333333335,0.38330010247790747,0.6040162154218635,0.03532931696225378,-0.0038199312046720557,1.620413409208826,1.5777709510717517,0.75,0.040788544239010176,-0.015044098050657373
5,3,0.55,7,20,2026-03-12,all,53,38,23,10,0.13157894736842105,0.6052631578947368,0.4471786799604255,0.744019242518399,0.04004407051197759,0.017768973469206584,1.1374370846378206,1.7440701964446583,0.7,0.0203893338319412,-0.00784843363752927
5,3,0.55,7,20,2026-03-12,train,13,11,7,6,0.2727272727272727,0.6363636363636364,0.35380117450784887,0.8483352890463243,-0.0006882312528424326,0.020954561767115187,0.5623639979691035,0.9841369964459311,0.6666666666666666,0.0053785424035529055,-0.015081463945816644
5,3,0.55,7,20,2026-03-12,test,39,26,20,4,0.11538461538461539,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.05845429435600492,0.02531574663539038,1.4442096547309042,1.9693768019057785,0.75,0.0509446949264697,-0.01892678222260711
5,3,0.6,7,20,2026-03-12,all,53,38,23,10,0.13157894736842105,0.6052631578947368,0.4471786799604255,0.744019242518399,0.04004407051197759,0.017768973469206584,1.1374370846378206,1.7440701964446583,0.7,0.0203893338319412,-0.00784843363752927
5,3,0.6,7,20,2026-03-12,train,13,11,7,6,0.2727272727272727,0.6363636363636364,0.35380117450784887,0.8483352890463243,-0.0006882312528424326,0.020954561767115187,0.5623639979691035,0.9841369964459311,0.6666666666666666,0.0053785424035529055,-0.015081463945816644
5,3,0.6,7,20,2026-03-12,test,39,26,20,4,0.11538461538461539,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.05845429435600492,0.02531574663539038,1.4442096547309042,1.9693768019057785,0.75,0.0509446949264697,-0.01892678222260711
5,3,0.67,7,20,2026-03-12,all,52,38,23,10,0.13157894736842105,0.6052631578947368,0.4471786799604255,0.744019242518399,0.04004407051197759,0.017768973469206584,1.1374370846378206,1.7440701964446583,0.7,0.0203893338319412,-0.00784843363752927
5,3,0.67,7,20,2026-03-12,train,13,11,7,6,0.2727272727272727,0.6363636363636364,0.35380117450784887,0.8483352890463243,-0.0006882312528424326,0.020954561767115187,0.5623639979691035,0.9841369964459311,0.6666666666666666,0.0053785424035529055,-0.015081463945816644
5,3,0.67,7,20,2026-03-12,test,38,26,20,4,0.11538461538461539,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.05845429435600492,0.02531574663539038,1.4442096547309042,1.9693768019057785,0.75,0.0509446949264697,-0.01892678222260711
5,3,0.75,7,20,2026-03-12,all,52,38,23,10,0.13157894736842105,0.6052631578947368,0.4471786799604255,0.744019242518399,0.04004407051197759,0.017768973469206584,1.1374370846378206,1.7440701964446583,0.7,0.0203893338319412,-0.00784843363752927
5,3,0.75,7,20,2026-03-12,train,13,11,7,6,0.2727272727272727,0.6363636363636364,0.35380117450784887,0.8483352890463243,-0.0006882312528424326,0.020954561767115187,0.5623639979691035,0.9841369964459311,0.6666666666666666,0.0053785424035529055,-0.015081463945816644
5,3,0.75,7,20,2026-03-12,test,38,26,20,4,0.11538461538461539,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.05845429435600492,0.02531574663539038,1.4442096547309042,1.9693768019057785,0.75,0.0509446949264697,-0.01892678222260711
5,3,0.8,7,20,2026-03-12,all,49,38,23,10,0.13157894736842105,0.6052631578947368,0.4471786799604255,0.744019242518399,0.03745847620785908,0.017768973469206584,1.0873043375404532,1.6671999842286949,0.7,0.01765214811931694,-0.010862231032055823
5,3,0.8,7,20,2026-03-12,train,13,11,7,6,0.2727272727272727,0.6363636363636364,0.35380117450784887,0.8483352890463243,-0.009089734935151578,0.020954561767115187,0.4693584640627422,0.8213773121097987,0.6666666666666666,0.0009786785228208881,-0.019693239434673614
5,3,0.8,7,20,2026-03-12,test,35,26,20,4,0.11538461538461539,0.5769230769230769,0.3894861374659171,0.7445555668634343,0.058229831161731735,0.02531574663539038,1.438853686736948,1.9620732091867472,0.75,0.05070152646600708,-0.019394280302878403
5,4,0.55,7,20,2026-03-12,all,11,10,7,6,0.3,0.3,0.10779126740630099,0.6032218525388546,-0.08353746262555459,-0.0585444709295897,0.31726769510724556,0.13597186933167668,0.5,-0.05083232270596331,-0.10033202355401254
5,4,0.55,7,20,2026-03-12,train,2,2,2,2,0.5,0.5,0.09453120573423074,0.9054687942657693,-0.036643000860452635,-0.036643000860452635,0.2360713565649507,0.2360713565649507,0.5,-0.036643000860452635,-0.09593304603865949
