asof_day,source,segment_type,segment_key,population,ranked_rows
2025-07-21,x,horizon,90D,2,2
2025-07-21,x,investor_type,flow_momentum,2,2
2025-07-21,x,investor_type,fundamental,2,2
2025-07-21,x,investor_type,technical,4,4
2025-07-21,x,narrative,ai_infra,1,1
2025-07-21,x,narrative,crypto,1,1
2025-07-21,x,narrative,semis,1,1
2025-07-22,x,horizon,180D,2,2
2025-07-22,x,horizon,1D,13,13
2025-07-22,x,horizon,20D,1,1
2025-07-22,x,horizon,5D,11,11
2025-07-22,x,horizon,60D,2,2
2025-07-22,x,horizon,90D,2,2
2025-07-22,x,investor_type,flow_momentum,2,2
2025-07-22,x,investor_type,fundamental,2,2
2025-07-22,x,investor_type,technical,4,4
2025-07-22,x,narrative,ai_infra,1,1
2025-07-22,x,narrative,crypto,1,1
2025-07-22,x,narrative,semis,1,1
2025-07-23,x,horizon,180D,3,3
2025-07-23,x,horizon,1D,16,16
2025-07-23,x,horizon,20D,1,1
2025-07-23,x,horizon,5D,12,12
2025-07-23,x,horizon,60D,2,2
2025-07-23,x,horizon,90D,3,3
2025-07-23,x,investor_type,flow_momentum,3,3
2025-07-23,x,investor_type,fundamental,2,2
2025-07-23,x,investor_type,technical,3,3
2025-07-23,x,narrative,ai_infra,1,1
2025-07-23,x,narrative,crypto,1,1
2025-07-23,x,narrative,semis,1,1
2025-07-24,x,horizon,180D,3,3
2025-07-24,x,horizon,1D,16,16
2025-07-24,x,horizon,20D,1,1
2025-07-24,x,horizon,5D,13,13
2025-07-24,x,horizon,60D,2,2
2025-07-24,x,horizon,90D,3,3
2025-07-24,x,investor_type,flow_momentum,4,4
2025-07-24,x,investor_type,fundamental,2,2
2025-07-24,x,investor_type,technical,3,3
2025-07-24,x,narrative,ai_infra,1,1
2025-07-24,x,narrative,crypto,1,1
2025-07-24,x,narrative,semis,2,2
2025-07-25,x,horizon,180D,3,3
2025-07-25,x,horizon,1D,16,16
2025-07-25,x,horizon,20D,2,2
2025-07-25,x,horizon,5D,13,13
2025-07-25,x,horizon,60D,3,3
2025-07-25,x,horizon,90D,3,3
2025-07-25,x,investor_type,flow_momentum,5,5
2025-07-25,x,investor_type,fundamental,2,2
2025-07-25,x,investor_type,technical,4,4
2025-07-25,x,narrative,ai_infra,1,1
2025-07-25,x,narrative,crypto,2,2
2025-07-25,x,narrative,semis,2,2
2025-07-26,x,horizon,180D,3,3
2025-07-26,x,horizon,1D,17,17
2025-07-26,x,horizon,20D,2,2
2025-07-26,x,horizon,5D,13,13
2025-07-26,x,horizon,60D,3,3
2025-07-26,x,horizon,90D,3,3
2025-07-26,x,investor_type,flow_momentum,5,5
2025-07-26,x,investor_type,fundamental,2,2
2025-07-26,x,investor_type,technical,5,5
2025-07-26,x,narrative,ai_infra,1,1
2025-07-26,x,narrative,crypto,2,2
2025-07-26,x,narrative,semis,2,2
2025-07-27,x,horizon,180D,3,3
2025-07-27,x,horizon,1D,17,17
2025-07-27,x,horizon,20D,2,2
2025-07-27,x,horizon,5D,13,13
2025-07-27,x,horizon,60D,3,3
2025-07-27,x,horizon,90D,3,3
2025-07-27,x,investor_type,flow_momentum,5,5
2025-07-27,x,investor_type,fundamental,2,2
2025-07-27,x,investor_type,technical,5,5
2025-07-27,x,narrative,ai_infra,1,1
2025-07-27,x,narrative,crypto,2,2
2025-07-27,x,narrative,semis,2,2
2025-07-28,x,horizon,180D,3,3
2025-07-28,x,horizon,1D,17,17
2025-07-28,x,horizon,20D,2,2
2025-07-28,x,horizon,5D,13,13
2025-07-28,x,horizon,60D,3,3
2025-07-28,x,horizon,90D,3,3
2025-07-28,x,investor_type,flow_momentum,5,5
2025-07-28,x,investor_type,fundamental,2,2
2025-07-28,x,investor_type,technical,5,5
2025-07-28,x,narrative,ai_infra,1,1
2025-07-28,x,narrative,crypto,2,2
2025-07-28,x,narrative,semis,2,2
2025-07-29,x,horizon,180D,3,3
2025-07-29,x,horizon,1D,17,17
2025-07-29,x,horizon,20D,4,4
2025-07-29,x,horizon,5D,17,17
2025-07-29,x,horizon,60D,3,3
2025-07-29,x,horizon,90D,3,3
2025-07-29,x,investor_type,flow_momentum,7,7
2025-07-29,x,investor_type,fundamental,3,3
2025-07-29,x,investor_type,technical,6,6
2025-07-29,x,narrative,ai_infra,1,1
2025-07-29,x,narrative,crypto,2,2
2025-07-29,x,narrative,ev,1,1
2025-07-29,x,narrative,semis,2,2
2025-07-30,x,horizon,180D,3,3
2025-07-30,x,horizon,1D,19,19
2025-07-30,x,horizon,20D,4,4
2025-07-30,x,horizon,5D,19,19
2025-07-30,x,horizon,60D,3,3
2025-07-30,x,horizon,90D,3,3
2025-07-30,x,investor_type,flow_momentum,7,7
2025-07-30,x,investor_type,fundamental,3,3
2025-07-30,x,investor_type,technical,5,5
2025-07-30,x,narrative,ai_infra,1,1
2025-07-30,x,narrative,crypto,2,2
2025-07-30,x,narrative,ev,1,1
2025-07-30,x,narrative,semis,2,2
2025-07-31,x,horizon,180D,3,3
2025-07-31,x,horizon,1D,21,21
2025-07-31,x,horizon,20D,4,4
2025-07-31,x,horizon,5D,19,19
2025-07-31,x,horizon,60D,3,3
