source_scope,segment_type,segment_key,window_days,rank_band,outcome_horizon,direction,n_events,raw_hit_rate,excess_hit_rate,excess_hit_ci_low,excess_hit_ci_high,avg_directional_return_pct,median_directional_return_pct,avg_win_pct,avg_loss_pct,payoff_ratio,profit_factor,avg_directional_excess_pct,median_directional_excess_pct,excess_payoff_ratio,excess_profit_factor,avg_max_favorable_excess,avg_max_adverse_excess,updated_at
x,horizon,180D,3,top10,1D,all,16,0.3888888888888889,0.3125,0.14164643854782039,0.5559564416525933,-0.018479717164378223,-0.008790149895257227,0.022388416393848174,-0.04448671124688593,0.5032607663353709,0.3202568513043269,-0.02258600292514979,-0.008504629554622667,0.44527276615837125,0.20239671189016878,-0.02258600292514979,-0.02258600292514979,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,1D,bear,1,1.0,1.0,0.20654931437723745,1.0,0.008525161163466688,0.008525161163466688,0.008525161163466688,,,,0.0058151340631957815,0.0058151340631957815,,,0.0058151340631957815,0.0058151340631957815,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,1D,bull,15,0.35294117647058826,0.26666666666666666,0.10897453325692374,0.5195043405598057,-0.020068239418957332,-0.010481476700658354,0.02469895893224509,-0.04448671124688593,0.5551985804294315,0.3028355893251444,-0.024479412057706162,-0.010469779722777184,0.5212954040793073,0.18956196511974813,-0.024479412057706162,-0.024479412057706162,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,20D,all,5,0.3333333333333333,0.4,0.11762077423264783,0.769275718723987,-0.002263953734993681,-0.024541659767069568,0.15182253497619114,-0.07930719809058609,1.9143600912842331,0.9571800456421166,-0.010000246190150053,-0.011605284758938628,1.2193940584732743,0.8129293723155162,0.1393736623483774,-0.09423662420993922,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,20D,bull,5,0.3333333333333333,0.4,0.11762077423264783,0.769275718723987,-0.002263953734993681,-0.024541659767069568,0.15182253497619114,-0.07930719809058609,1.9143600912842331,0.9571800456421166,-0.010000246190150053,-0.011605284758938628,1.2193940584732743,0.8129293723155162,0.1393736623483774,-0.09423662420993922,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,5D,all,10,0.5833333333333334,0.5,0.236593090512564,0.7634069094874361,-0.008501823164428888,0.021643269366402373,0.07732215865426177,-0.1286553977105958,0.6010020568914978,0.8414028796480968,-0.032558301602123876,-0.056331932584609445,0.4937764845826623,0.4937764845826624,0.035879846038875826,-0.07445414579094281,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,5D,bull,10,0.5833333333333334,0.5,0.236593090512564,0.7634069094874361,-0.008501823164428888,0.021643269366402373,0.07732215865426177,-0.1286553977105958,0.6010020568914978,0.8414028796480968,-0.032558301602123876,-0.056331932584609445,0.4937764845826623,0.4937764845826624,0.035879846038875826,-0.07445414579094281,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,60D,all,2,1.0,1.0,0.34238022750665303,1.0,0.4260457029309489,0.4260457029309489,0.4260457029309489,,,,0.3510025538016559,0.3510025538016559,,,0.44383432151183566,-0.10945676964493767,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,60D,bull,2,1.0,1.0,0.34238022750665303,1.0,0.4260457029309489,0.4260457029309489,0.4260457029309489,,,,0.3510025538016559,0.3510025538016559,,,0.44383432151183566,-0.10945676964493767,2026-07-19T16:54:32+00:00
x,horizon,180D,3,top10,90D,all,2,1.0,1.0,0.34238022750665303,1.0,0.3589981489366737,0.3589981489366737,0.3589981489366737,,,,0.27064028969669474,0.27064028969669474,,,0.48053649682318555,-0.11029552831449241,2026-07-19T16:54:32+00:00
